ds,y
8/7/2019 10:00,21.906
8/7/2019 9:00,28.874
8/7/2019 8:00,33.087
8/7/2019 7:00,36.375
8/7/2019 6:00,35.021
8/7/2019 5:00,35.259
8/7/2019 4:00,47.041
8/7/2019 3:00,42.43
8/7/2019 2:00,40.292
8/7/2019 1:00,42.371
8/7/2019 0:00,44.745
8/6/2019 23:00,42.705
8/6/2019 22:00,41.484
8/6/2019 21:00,21.911
8/6/2019 20:00,33.938
8/6/2019 19:00,30.203
8/6/2019 18:00,0.068
8/6/2019 17:00,0.075
8/6/2019 16:00,0.081
8/6/2019 15:00,0.076
8/6/2019 14:00,7.388
8/6/2019 13:00,7.395
8/6/2019 12:00,0.213
8/6/2019 11:00,7.543
8/6/2019 10:00,3.888
8/6/2019 9:00,12.347
8/6/2019 8:00,0.114
8/6/2019 7:00,24.002
8/6/2019 6:00,17.075
8/6/2019 5:00,20.804
8/6/2019 4:00,26.342
8/6/2019 3:00,30.026
8/6/2019 2:00,37.872
8/6/2019 1:00,26.838
8/6/2019 0:00,24.183
8/5/2019 23:00,36.826
8/5/2019 22:00,31.746
8/5/2019 21:00,34.295
8/5/2019 20:00,35.973
8/5/2019 19:00,36.999
8/5/2019 18:00,32.047
8/5/2019 17:00,27.205
8/5/2019 16:00,0.548
8/5/2019 15:00,0.639
8/5/2019 14:00,1.236
8/5/2019 13:00,4.286
8/5/2019 12:00,5.059
8/5/2019 11:00,1.14
8/5/2019 10:00,19.6
8/5/2019 9:00,23.281
8/5/2019 8:00,28.181
8/5/2019 7:00,27.579
8/5/2019 6:00,28.034
8/5/2019 5:00,34.648
8/5/2019 4:00,40.562
8/5/2019 3:00,38.193
8/5/2019 2:00,37.14
8/5/2019 1:00,22.717
8/5/2019 0:00,32.25
8/4/2019 23:00,37.161
8/4/2019 22:00,30
8/4/2019 21:00,31.563
8/4/2019 20:00,38.243
8/4/2019 19:00,39.61
8/4/2019 18:00,20.136
8/4/2019 17:00,2.38
8/4/2019 16:00,0
8/4/2019 15:00,0
8/4/2019 14:00,0
8/4/2019 13:00,0
8/4/2019 12:00,0
8/4/2019 11:00,1.109
8/4/2019 10:00,9.878
8/4/2019 9:00,25.853
8/4/2019 8:00,27.577
8/4/2019 7:00,21.554
8/4/2019 6:00,27.385
8/4/2019 5:00,23.939
8/4/2019 4:00,27.234
8/4/2019 3:00,26.346
8/4/2019 2:00,39.067
8/4/2019 1:00,19.8
8/4/2019 0:00,28.078
8/3/2019 23:00,37.875
8/3/2019 22:00,32.966
8/3/2019 21:00,36.866
8/3/2019 20:00,41.914
8/3/2019 19:00,27.415
8/3/2019 18:00,14.453
8/3/2019 17:00,0.798
8/3/2019 16:00,0
8/3/2019 15:00,0
8/3/2019 14:00,0
8/3/2019 13:00,0
8/3/2019 12:00,0
8/3/2019 11:00,0
8/3/2019 10:00,3.118
8/3/2019 9:00,12.858
8/3/2019 8:00,24.774
8/3/2019 7:00,28.718
8/3/2019 6:00,21.245
8/3/2019 5:00,33.981
8/3/2019 4:00,43.222
8/3/2019 3:00,36.156
8/3/2019 2:00,35.317
8/3/2019 1:00,23.945
8/3/2019 0:00,31.357
8/2/2019 23:00,33.787
8/2/2019 22:00,32.123
8/2/2019 21:00,38.397
8/2/2019 20:00,43.36
8/2/2019 19:00,42.89
8/2/2019 18:00,23.63
8/2/2019 17:00,0.075
8/2/2019 16:00,0.061
8/2/2019 15:00,0.063
8/2/2019 14:00,0.068
8/2/2019 13:00,2.761
8/2/2019 12:00,2.715
8/2/2019 11:00,1.518
8/2/2019 10:00,0.817
8/2/2019 9:00,12.978
8/2/2019 8:00,17.443
8/2/2019 7:00,29.034
8/2/2019 6:00,18.139
